date,amount,time_of_day
2024-06-01,1.95,Unknown
2024-06-02,0.8,Unknown
2024-06-03,0.8,Unknown
2024-06-04,0.4,Unknown
2024-06-11,0.05,Unknown
2024-06-12,0.65,Unknown
2024-06-13,0.1,Unknown
2024-06-15,0.75,Unknown
2024-06-16,0.9,Unknown
2024-06-17,2.0,Unknown
2024-06-18,0.55,Unknown
2024-06-20,0.1,Unknown
2024-06-21,0.5,Unknown
2024-06-22,1.9,Unknown
2024-06-28,1.0,Unknown
2024-06-28,0.3,Unknown
2024-07-02,0.15,Unknown
2024-07-04,1.7,Unknown
2024-07-05,0.35,Unknown
2024-07-07,0.1,Unknown
2024-07-09,0.35,Unknown
2024-07-10,0.1,Unknown
2024-07-13,0.05,Unknown
2024-07-14,0.1,Unknown
2024-07-15,0.4,Unknown
2024-07-21,0.85,Unknown
2024-07-22,0.75,Unknown
2024-07-29,0.75,Unknown
2024-07-31,1.0,Unknown
2024-08-01,0.2,Unknown
2024-08-04,0.6,Unknown
2024-08-06,1.75,Unknown
2024-08-15,1.8,Unknown
2024-08-17,0.1,Unknown
2024-08-22,0.2,Unknown
2024-08-27,1.2,Unknown
2024-08-29,1.8,Unknown
2024-09-05,0.1,Unknown
2024-09-19,0.6,Unknown
2024-10-24,0.55,Unknown
2024-10-31,1.4,Unknown
2024-11-05,0.35,Unknown
2024-11-10,0.4,Unknown
2024-11-13,0.1,Unknown
2024-11-19,1.7,Unknown
2025-03-15,0.4,Unknown
2025-03-30,2.4,Unknown
2025-04-02,0.5,Unknown
2025-04-18,0.4,Unknown
2025-04-21,1.0,Unknown
2025-04-25,0.7,Unknown
2025-04-27,0.3,Unknown
2025-04-28,0.1,Unknown
2025-05-02,0.3,Unknown
2025-05-15,0.4,Unknown
2025-05-16,0.3,Unknown
2025-05-20,2.7,Unknown
2025-05-21,0.6,Unknown
2025-05-27,0.1,Unknown
2025-05-28,0.2,Unknown
2025-06-02,0.2,Unknown
2025-06-03,1.3,Unknown
2025-06-12,2.7,Unknown
2025-06-16,0.2,Unknown
2025-06-16,0.1,Unknown
2025-06-20,0.1,Unknown
2025-06-25,1.4,Unknown
2025-06-26,2.0,Unknown
2025-06-28,0.1,Unknown
2025-06-29,0.3,Unknown
2025-07-05,0.6,Unknown
2025-07-06,0.2,Unknown
2025-07-08,0.1,Unknown
2025-07-15,0.7,Unknown
2025-07-16,2.1,Unknown
2025-07-19,0.1,Unknown
2025-07-21,0.8,Unknown
2025-07-23,0.85,Unknown
2025-07-24,0.3,Unknown
2025-07-28,1.5,Unknown
2025-07-29,0.8,Unknown
2025-08-09,0.5,Unknown
2025-08-14,0.1,Unknown
2025-08-15,0.2,Unknown
2025-08-16,0.5,Unknown
2025-08-17,0.2,Unknown
2025-08-18,2.3,Unknown
2025-09-02,0.2,Unknown
2025-09-06,0.5,Unknown
2025-09-09,0.45,Unknown
2025-09-12,0.1,Unknown
2025-09-18,0.2,Unknown
2025-09-19,0.9,Unknown
2025-09-19,0.4,Unknown
2025-09-21,1.1,Unknown
2025-10-05,0.1,Unknown
2025-10-12,0.05,Unknown
2025-10-14,0.9,Unknown
2025-10-16,0.1,Unknown
2025-10-25,0.2,Unknown
2025-10-28,0.05,Unknown
2025-10-31,0.3,Unknown
2025-11-25,0.4,Unknown
2026-03-06,0.25,Unknown
2026-04-03,0.4,Unknown
2026-04-10,0.1,Unknown
2026-04-17,0.35,Unknown
2026-04-23,0.3,Unknown
2026-04-25,0.15,Unknown
2026-04-27,1.0,Unknown
2026-05-18,0.4,Unknown
2026-05-19,0.7,Unknown
2026-05-31,0.7,Unknown
2026-05-31,0.25,Unknown
2026-06-04,0.05,Unknown
2026-06-10,0.5,Unknown
2026-06-11,0.2,Unknown
2026-06-15,0.05,Night
2026-06-16,0.1,Morning
2026-06-17,0.15,Morning
2026-06-17,1.4,Afternoon
2026-06-23,1.85,Afternoon
2026-06-28,0.4,Morning
2026-06-30,0.05,Night
2026-07-01,0.35,Morning
2026-07-03,0.2,Morning
2026-07-04,1.7,Evening
2026-07-07,0.4,Night
2026-07-08,0.15,Morning
2026-07-20,0.8,Night
2026-07-24,0.05,Night
2026-07-31,2.95,Evening
2026-08-04,0.1,Morning
2026-08-07,0.1,Afternoon
2026-08-15,0.1,Morning
2026-08-18,0.4,Night
2026-08-29,0.5,Morning
2026-09-02,0.45,Night
2026-09-03,0.4,Morning
